version,seed,f_init,Phi,Phi_late,mean_abs_residual,corr_ra_density,corr_ra_ea,mean_alive,mean_alive_late,ratio_early,ratio_late,late_R_vote_disc,late_E_vote_disc,late_death_gap,corr_loss_r_e,late_segregation,goal_frac_drift,extinct_step
original,1096812628,0.4925000071525574,0.17913583000514274,0.22727001315262363,34.1960060916543,0.8553154271799891,0.6783091643588541,197.19,187.95,1.2498701190748323,2.5669212886084356,5.489001958351964,5.207645622342825,0.02203471936751157,0.7787614766276275,0.5913129349765102,0.0,
original,42,0.49000000953674316,0.14271027855450144,0.21231244595380092,17.98567118626833,0.9702421401199276,0.9126843515697037,142.64375,130.3425,1.0444961617284378,2.35480342320314,9.507882067337633,9.900634641982615,0.05451652649033349,0.724497813761395,0.6271642852081025,0.0,
original,7,0.5099999904632568,0.07264020865686813,0.12631326826587005,10.91707666003704,0.99798139645374,0.9930884633547066,202.0775,131.4675,1.0404424884025218,1.7437650005217573,7.5082447217963635,9.889690581780524,0.021115951784304345,0.8746908471061091,0.5265474644891939,0.0,
A,1096812628,0.4925000071525574,0.3501348192641683,0.43981695272810994,73.1098978228718,-0.14968221003976342,-0.3702052234467737,217.26875,199.4575,1.4208694210766235,13.766426059596519,4.073003815412521,-6.798169630765915,0.027708297027274967,0.9027518395856412,0.879986513555063,0.0,
A,42,0.49000000953674316,0.3666968315059476,0.46143670000327974,77.94053031092882,-0.04028073999838118,-0.12457173997812769,231.81475,202.86,1.1236683173408961,19.574036511156187,2.605120239853859,5.811310937404633,0.07369563774205744,0.9449881840494923,0.8977239728826072,0.0,
A,7,0.5099999904632568,0.20620049924322395,0.40246119995446256,47.83422196102142,-0.08340345449123483,-0.20350201982333047,275.4765,210.8575,1.0254507876362962,10.423946905052148,3.81935165733099,-2.4918580377474426,0.0033462005411274733,0.9742692485094875,0.829091207579936,0.0,
B,1096812628,0.4925000071525574,0.3325921567341815,0.4375162491779965,69.95375412903726,-0.37212325081894837,-0.5494308569905648,225.24375,200.0,1.073987091002045,13.285714285714286,3.944320868849754,-6.9437249718606475,0.00735653261654079,-0.7327990363940534,0.8667105392909983,0.0,
B,42,0.49000000953674316,0.24209353936358208,0.41401664966070995,49.0006857945323,0.3921160985741263,0.2588221331102352,242.69325,189.7275,0.9519515306122449,9.41028806584362,3.245106552392244,-8.790598171502351,0.041763918442593424,0.9078835765911369,0.9198590131338166,0.0,
B,7,0.5099999904632568,0.060595184735615246,0.08724296683529868,20.354376678705215,0.9880407201564391,0.7686160736166131,348.263,309.565,0.993266468294685,0.7326076006044664,3.0519302711635827,-2.8666792853176593,0.002598076358990511,0.9613848298810347,0.6056070993051,0.0,
C,1096812628,0.4925000071525574,0.4419582608058025,0.44956548403018926,176.20269652439654,0.9854018695343112,-0.004397070774946197,398.57375,397.0,13.221456692913387,16.26086956521739,0.7096503598248557,-0.2673019866831601,0.0,-0.5781820810329615,0.9239543726235744,0.4424999952316284,
C,42,0.49000000953674316,0.27452139596792696,0.3187037351677896,107.13156628847122,0.7730060326204516,-0.9418673520873725,389.2225,393.4575,1.8960378749660445,4.227455409041087,0.44149649083208714,-0.1390765727464384,0.0007381978350167629,-0.8326416877899465,0.8128630248766697,0.3100000023841858,
C,7,0.5099999904632568,0.23643526603158568,0.2795702808916855,91.33349119275809,0.24847658585092117,-0.24701845609953277,387.24475,372.0275,2.5597659140339473,3.751764217517642,1.7280554588139057,-1.0395455073704942,-0.0007453804981196299,-0.6599371021796357,0.8651868443890006,0.22750002145767212,
D_fixed,1096812628,0.4925000071525574,0.33877365342286764,0.4521477329307119,70.95059721615911,-0.4187483223717804,-0.6062130812693701,223.389,197.71,1.1007063605770833,17.039233576642335,4.588894426524639,-6.101631495859474,0.0711156666977331,-0.5089387733573754,0.9026862522079582,0.0,
D_fixed,42,0.49000000953674316,0.09272056999907842,0.22825964955262393,19.849157139718532,0.8062486592395068,0.6392307206189689,247.81375,190.2575,0.920312963512311,2.5475946298713406,5.971537801921368,-11.808531631678342,0.06936966503737495,0.9756783890377986,0.9026106294898417,0.0,
D_fixed,7,0.5099999904632568,0.05794606582043002,0.07942183512066893,19.670231694102288,0.9788577597288648,0.7604382391627629,347.0285,315.4875,0.9739549839228295,0.756171894569846,2.8776378194987773,-2.6923757021129133,0.0020635535233304836,0.9553865337473931,0.5932694221152798,0.0,
D,1096812628,0.4925000071525574,0.5023340528592385,0.5024999928461863,200.82061776660382,0.9993682794068013,-0.6586237819922223,399.66325,400.0,189.23141486810553,199.0,0.542351086307317,nan,0.0,-0.9753950686365924,0.99,0.5024999976158142,
D,42,0.49000000953674316,0.26194903612604575,0.3163679876229054,99.01791139256954,0.07581594558135708,-0.9124728584804779,378.307,375.7625,1.9034929094889121,4.1642329496650055,0.8636583538319792,-0.10847518978692278,0.0005580968834692612,-0.8760971041122697,0.8270073436968134,0.26749998331069946,
D,7,0.5099999904632568,0.35046155185647093,0.35975050772247175,137.81276624947787,0.8692950965058573,0.06598144792850952,393.19225,389.7675,5.45146855422667,6.677500369330773,1.4203544990345836,-1.0702456513402285,-0.000536363868159242,-0.5056955448908644,0.8971496109217376,0.33750003576278687,
